Titre,Année de publication,Pages,Nombre de lecteurs,Note moyenne,Genres
House of Earth and Blood,2020,803,928326,4.46,"['Romance', 'Fantasy', 'Romantasy', 'Fiction', 'Fantasy Romance', 'Urban Fantasy', 'Adult', 'adult', 'all-time-faves', 'fantasy', 'badass-queens', 'full-reviews', 'old-reviews', 'blank-of-blank-and-blank', 'faeries-and-elves', 'magic-and-sparkles-and-shit', '2-stars', '2020-reads', 'arc', 'fantasy', 'paranormal', '2020-releases', 'adult-new-adult', 'fantasy', 'best2020books', 'grcoicefinal', 'published2020', 'book-club', 'its-a-no-from-me-dawg', 'audiobooks', 'characters-of-colour', 'i-fell-in-love', '2021-reads', 'adult', 'fantasy', '4-stars', 'adult', 'audio', '2020', '2022', '2024', '0-in-my-library-read', '5-stars', 'alpha-male', '2020', 'fantasy', 'angels', 'fae', 'fantasy', 'favorites', 'owned', 'favourites', 'favorites', 'depressing', 'favorites', 'guilty-pleasure', 'authors-i-love', 'fae', 'fantasy', '2020-books', 'i-own', 'gave-me-a-headache', 'how-dare-you-let-me-down', 'ruby-the-copy-cat', 'favorites']"
A ​Court of Silver Flames,2021,757,1705361,4.46,"['Fantasy', 'Romance', 'Romantasy', 'Fiction', 'Fae', 'Fantasy Romance', 'Audiobook', 'disappointment-valley', 'dishonor-on-your-cow', 'favourite-worlds', 'beast-mode-smut', 'da-feels', 'enemies-to-lovers', '1-star-electric-chair', '2021-challenge', 'adult-na', '2021-releases', 'adult-na', 'faeries', 'completed-reviews', 'delete-this-book-from-history', 'pop-reviews', 'bubbling-under-5-stars', 'cheesy-cheesy-cheesy', 'girl-squad', 'fae', 'fantasy', 'read-2021', '6-star-reads', 'audiobooks', 'i-fell-in-love', 'fantasy-all', 'favorites', 'hardback-own', 'fantasy', '5-stars', 'age-gap', 'alpha-male', '2021', 'adult-fantasy', 'fantasy-romance', '2021', '2021-reads', '5-stars', 'buddy-read', '2021-books', 'i-own', 'fantasy', 'romance', '2021-anticipated', 'favorite-ships', 'favorites', 'one-questionable-character', 'romance', 'this-is-a-wendys', 'fae', 'fantasy', 'magic', 'adventure-challenges-heists', 'antiheroes-villains-outcasts', 'beasts-monsters-demons', 'the-summer-of-smut-and-dukes']"
The Vanishing Half,2020,343,808907,4.13,"['Fiction', 'Historical Fiction', 'Audiobook', 'Contemporary', 'Literary Fiction', 'Historical', 'Race', 'contemporary', 'fiction', 'historical-fiction', 'arc-provided-by-publisher', 'audiobooks', 'authors-of-color', 'favorites', '2021', 'historical', 'bleah', 'disappointing', 'far-fetched', 'edelweiss', 'no-rules-just-thrills-group-read', 'women-s-fiction', '4-and-a-half-stars', 'authors-of-color', 'diverse', 'bookstagram-made-me-do-it', 'buddy-reads', 'recommended', 'grgiveaways', 'my-biggest-fear', 'sad-burbia', 'edelweiss', 'edelweiss', 'no-rules-just-thrills', 'traveling-friends-read', 'adult-realistic-fiction', 'audiobook', 'black-books', 'fab-book-club-books', '2020-releases', 'book-club', 'read-in-2020', 'edelweiss', '2020-reads', 'buddy-read-with-marialyce', 'edelweiss', 'audio', 'best-of-2020', 'book-clubs', 'friendship-and-found-family', 'identity', 'race-people-of-colour']"
My Dark Vanessa,2020,373,380503,4.1,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Adult', 'Thriller', 'Dark', 'books-of-the-year-2020', 'brain-candy', 'feminist', '4-and-a-half-stars', 'literary-fiction', 'mystery-thriller-horror-etc', '2020', 'arc', 'contemporary', 'all-time-favourites', 'fiction', 'in-my-home-library', '2019', 'contemporary-fiction', 'dark', 'adult', 'buddy-reads', 'contemporary', '2020-reads', '5-stars', 'on-my-kindle', '2024', 'literary-fiction', 'edelweiss', 'contemporary-fiction', 'netgalley', 'alcoholism-drugs', 'contemporary-recent', 'arc-copy', 'goodread-books-i-won-from-giveaways', 'read-in-2020', '5-star', 'elle-recs-list', 'literary-fiction', 'contemporary-fiction']"
Beach Read,2020,400,1407161,3.99,"['Contemporary', 'Fiction', 'Audiobook', 'Contemporary Romance', 'Adult', 'Chick Lit', 'Enemies To Lovers', '3-star-books', 'adult', 'annoying-characters', '2020', '2020', 'arc', 'romance', '4-and-a-half-stars', 'arc', 'from-publisher-author', '2020-favorites', 'contemporary', 'in-my-home-library', 'favourites', 'authors-i-wish-would-retire', 'adult', 'adult-contemporary', 'adult-romance', 'favorites', '0-in-my-library-read', '0-top-reads-of-2020', '5-stars', 'others-liked-not-me', 'favorites', '2020', 'best-of-the-best', 'cute-banter', '2020-audio', '2020-five-stars', '2020-new-to-me-author', '2020', 'contemporary-romance', 'disappointment-valley', '2020-releases', 'contemporary', 'favorites', '6-star-reads', 'i-fell-in-love', 're-reads']"
Babel,2022,544,341485,4.17,"['Fantasy', 'Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Adult', 'Historical Fantasy', 'arcs-and-review-copies', 'favorites', 'dark_academia', 'language', 'magical-realism', 'autumn-oct-nov-shortlist', 'disappointing-tbh', 'infuriating-books', '2022', 'delusione', 'sf-and-fantasy', 'actually-gray-characters', 'depressing', 'favorites', '2022', 'fantasy', 'historical', '2022-reads', 'academia', 'adult', 'arc', '3-and-a-half-stars', 'authors-of-color', 'diverse', 'favourites', 'adult', 'adult-historical', 'adult-sff', 'favorites', 'adult-fantasy', 'fantasy', 'in-my-home-library', '4-star', 'adult', 'fantasy', 'disliked-it', 'they-really-said-fuck-subtlety', 'adult', 'asian-mc', 'author-of-color', '2022', 'author-is-nice', 'fantasy-frenemies', 'netgalley', 'all-time-favorites', '2022-books', 'i-own']"
The Love Hypothesis,2021,356,1599545,4.12,"['Contemporary', 'Fiction', 'Contemporary Romance', 'Adult', 'Audiobook', 'Chick Lit', 'New Adult', 'chick-lit', 'kissing-books', 'stem-heroines', '1-star', 'arc', 'from-publisher-author', 'favorites', 'asexuals-demisexuals', 'audiobook', 'contemporary', 'favorites', 'read-in-2021', '2021-favorites', '2021', 'audiobook', 'contemporary-romance', 'all-time-favorites', 'read-in-1-sitting', '2021-favorites', '5-star-reads', '2022', 'book-boyfriends', 'cover-love', 'age-gap-grey-hair-s-hot', 'books-read-in-2021', 'can-their-love-burn-any-slower', 'academy-like', 'adult', 'adult-fiction', 'academia', 'adult', 'contemporary']"
Malibu Rising,2021,369,1171621,4.03,"['Fiction', 'Historical Fiction', 'Contemporary', 'Romance', 'Audiobook', 'Adult', 'Historical', '1-star', 'arc', 'historical-fiction', '1-and-a-half-stars', 'eh', 'historical', 'read-in-2021', 'read-in-2023', '2021', 'contemporary', 'read-2021', 'to-review', 'fav', 'have-2-pry-out-of-my-cold-hands', 'favoritos', 'lgbtqiap', 'lidos-2021', 'netgalley', 'adult', 'adult-fiction', 'comfort-books', '2020', '5-fangs', 'arc', '2021-books', 'i-own', 'netgalley', 'netgalley-2021', '2021', 'historical-fiction', 'domestic-drama', 'favorites', 'fiction', '2021-releases', 'audiobooks', '2021-reads', 'adult', 'audiobook']"
The Inheritance Games,2020,386,924291,4.14,"['Mystery', 'Young Adult', 'Romance', 'Fiction', 'Fantasy', 'Mystery Thriller', 'Contemporary', '3-stars', 'mystery', 'thriller', '2020', 'mystery-thriller', 'young-adult', '2021-reads', 'mystery-thriller-paranormal', 'owned', '2021', 'ya-contemporary', 'rtc', 'in-my-home-library', 'mystery-thriller', 'young-adult', 'ya-ya-land', 'buddy-reads', 'mystery', 'owned', '3-stars', '3-stars', 'mystery-or-thriller', 'romance', 'big-hype-big-lie', 'contemporary', 'fantasy', 'feb24౨ৎ', 'read-in-2024౨ৎ', '2020-books', 'i-own', 'thriller-mystery', 'read-2021', 'ya', '2020-favorites', '5-star-reads', 'thriller-mystery', '3-star-books', 'annoying-characters', 'audiobooks-i-listened-to', 'amazing-characters', 'mystery', 'read-in-2022']"
Book Lovers,2022,377,1340581,4.12,"['Romance', 'Fiction', 'Contemporary', 'Audiobook', 'Contemporary Romance', 'Adult', 'Chick Lit', 'should-have-dnfed', '2022', '5-star', 'all-time-gems', '4-stars', 'non-ya', 'owned', '2022', 'romance', '2022', 'contemporary-romance', 'favorites', '2022', 'haiku-review', '0-top-reads-of-2022', '0-top-reads-of-all-time', '5-stars', '6-star-reads', 'arc-reads', 'audiobooks', '2022-anticipated', 'romance', 'books_about_books', 'cute', 'love', 'favorites-2022', 'read-in-2022', 'audiobook', 'men-i-tolerate', 'the-stars-around-my-scars', 'boring', 'disappointed', 'dnf']"
