Titre,Année de publication,Pages,Nombre de lecteurs,Note moyenne,Genres
"Take a Hint, Dani Brown",2020,400,106077,4.0,"['Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Contemporary Romance', 'Adult', 'LGBT', 'adult', 'adult-contemporary', 'adult-romance', '2020', 'contemporary-romance', '2-stars', 'authors-of-color', 'eh', 'about-poc', 'bi-bi-bi-or-mga', 'fake-dating', '2021-reads', 'adult', 'owned', 'misrepresents-islam', '2020-reads', '5-stars', 'arc', 'black-romance-authors', 'characters-of-colour', 'i-fell-in-love', 'favorites', 'favourites', 'five-stars', 'read-2020', 'read-in-2020', 'romance', '2020', '2020-audio', '2021-audio', 'grumpy-sunshine', 'romance', 'adult-romance', 'cute-af', 'would-reread', '5-star-books', 'all-time-favorites', 'books-to-reread-in-the-future', '4-stars', 'romance-adult', 'adult', 'contemporary', 'disability-mh-nd', 'adult-romance', 'audiobook', 'black-books', '5-star-reads', 'black-author', 'fake-dating', 'bisexuals-pansexuals', 'contemporary', 'm-f']"
The Spanish Love Deception,2021,487,758083,3.81,"['Enemies To Lovers', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Adult', 'Audiobook', 'Chick Lit', 'book-boyfriends', 'fake-relationship', 'forced-proximity', '1-and-a-half-stars', 'non-ya', 'nope', '2021-releases', '2022-reads', 'adult', '2021-reads', '2022-reads', '5-stars', 'big-no', '1-stars', 'annotated', 'characters-i-do-not-like', 'romance', 'adult', 'adult-fiction', 'big-hype-big-lie', 'arc-books', 'favorites', 'ahhhh-so-good', 'book-boyfriends', 'books-i-always-recommend', 'i-wish-i-were-jared-19', 'romance', 'read-in-2021', '2021', 'contemporary-romance', 'on-pause', 'contemporary', 'fav', 'have-2-pry-out-of-my-cold-hands', '5-stars', 'buddy-reads', 'disappointing', 'buddy-read', 'dont-do-this-to-yourself', 'standalones', 'close-to-5-stars', 'i-fell-in-love', 'kindle-unlimited', 'blue-eyed-dudebro', 'hot-garbage']"
Happy Place,2023,400,1199966,3.97,"['Romance', 'Fiction', 'Contemporary', 'Audiobook', 'Contemporary Romance', 'Adult', 'Chick Lit', 'fab-fours-౨ৎ', 'adult', 'adult-fiction', 'chick-lit', 'best-audiobook-recs', '2023', '5-star', 'advanced-copies', '3-and-a-half-stars', 'non-ya', 'owned', '2023', '2023-releases', 'adult', 'adult-contemporary', 'adult-romance', '2023', 'contemporary-romance', 'women-s-fic', '2023-favorites', 'all-time-favorites', 'romances-i-love', 'grabby-hands', 'straight-to-horny-jail', '2023-releases', '6-star-reads', 'characters-of-colour', 'i-fell-in-love']"
The Girl with the Louding Voice,2020,371,162248,4.43,"['Fiction', 'Contemporary', 'Africa', 'Audiobook', 'Feminism', 'Literary Fiction', 'Nigeria', '2021', 'modern-lit', 'all-time-favorite', 'audiobook', 'currently-listening-to', '2-stars', 'authors-of-color', 'diverse', '2020-reads', 'audiobook', 'edelweiss', 'african-literature', 'nigerian-authors', 'best-of-2020', 'edelweiss', 'feb-2020-reads', 'african-authors', 'fiction', '2020-books', 'i-own', 'buddy-reads-with-donia', 'favorites', 'tbr-own', '2020', '2020-ntb', '2024', 'adult-fiction', 'audio', 'historical-fiction', 'audio', 'challengereads', 'challengereads-2021', '2021', 'audiobooks', 'fiction', 'audio', 'overdrive', '2021-read', 'audiobook', 'fiction', 'buddy-read-with-beth', 'recent-favorites', 'africa', 'all-fiction', 'cultural-and-social-commentary', '2020', '2020-popsugar-challenge', '52-weeks-of-woc']"
Felix Ever After,2020,368,64436,4.23,"['LGBT', 'Young Adult', 'Romance', 'Contemporary', 'Queer', 'Fiction', 'Audiobook', 'fiction', 'queer-lit', 'read-in-2020', 'queer', 'anticipated-of-2020', 'favorites', 'lgbtqia', '3-and-a-half-stars', 'authors-of-color', 'contemporary', 'contemporary', 'in-my-home-library', 'young-adult', '2020', '2020-favorites', 'arc', 'owned', 'queer', 'audiobook', 'best2020books', 'published2020', 'favorites', '2020', 'lgbtq', 'ya-contemporary', '5-star-books', 'all-time-favorites', 'audiobooks-i-listened-to', '1-contemporary', '3-authors-lgbt', '3-authors-poc', 'contemporary', 'favourites-2020', 'hall-of-fame', 'black-author', 'lgbtqia-library', 'poc-interracial', '4-star', 'buddy-reads', 'contemporary', 'beautiful', 'book-hangover', 'buddy-reads', '2020', '4-star', 'best-of-2020']"
Long Bright River,2020,482,132228,4.05,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Crime', 'Contemporary', 'can-t-wait-to-read', 'bookstagram-made-me-do-it', 'from-publisher', 'edelweiss', 'mystery-thriller', 'audio', 'hoopla-libby', 'edelweiss', '5-star-books', 'adult', 'all-time-favorites', 'family-drama', 'literary-fiction', 'mystery', '2020', 'addiction', 'complicated-female-relationships', 'edelweiss', 'edelweiss', 'arc-copy', 'dark', 'goodread-books-i-won-from-giveaways', '2020-reads', 'edelweiss', 'mystery-thriller', 'thrillers-us', 'americana', '2020-five-star-books', 'audiobooks', 'buddy-read', 'audio', 'dnf', 'physical-arc-received', 'audio', 'buddy-read', 'edelweiss', '2020', 'addiction', 'family', 'best-of-2020', 'botm', 'edelweiss', 'black-as-mitchell-s-heart', 'book-of-the-month-selection', 'denied-the-arc', 'mystery']"
The Book of Longings,2020,416,133609,4.23,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Religion', 'Adult', 'Feminism', 'favourites', '2020', 'bage-mature', 'diversity', 'edelweiss-reviews', 'books-of-2020', 'edelweiss', '2020', 'historical-fiction', 'library-book', '2021-reads', 'audiobook', 'biblical-fiction', 'group-challenge', 'popsugar2020', 'historical-fiction', 'religion-spirituality', 'historical-fiction-ancient-times', 'top-of-2020', 'book-clubs', 'around-the-world', 'location-israel', 'location-palestine', 'owned', '451-degrees-fahrenheit', 'back-in-time', 'read-in-2020', '2020', 'book-club-library', '2023', 'atmospheric-writing', 'character-driven', 'botm', 'historical-fiction']"
The Henna Artist,2020,384,197835,4.18,"['Historical Fiction', 'Fiction', 'Audiobook', 'India', 'Historical', 'Adult', 'Book Club', 'contemporary', 'fiction', 'india', '1950s', 'arc', 'fiction', 'adult-fiction', 'arc', 'historical-fiction', 'audio', 'overdrive', 'audible', 'historical-fiction', 'library', 'blog-tour', 'audiobook', 'favorites', 'libby', 'reese-witherspoon-bookclub', 'enjoyed-the-setting', 'historical-fiction', 'library-loan', '2020', 'belletristik', 'chick-lit', 'drama', 'books-of-2020', 'library-overdrive', 'audio', 'challengereads', 'challengereads-2020', 'reese-s-book-club', '2020', '2021-reads', 'audiobook', 'debut-novel', 'asian-author', 'historical-fiction', 'les-arcs-de-triomphes', '2023', '5-star-favorites', 'adventure', 'audio-books', 'modern-fiction', '2021', '4-star']"
The Empire of Gold,2020,766,65854,4.5,"['Fantasy', 'Fiction', 'Audiobook', 'Historical Fiction', 'Adult', 'Mythology', 'Romance', 'adult-fantasy', 'fantasy', 'in-my-home-library', 'najlepsze-2023', 'adult', 'arcs', 'completed-series', 'all-time-favorites-fiction', 'books-of-the-year-2020', 'fantasy', 'arc', 'fantasy', 'read-2020', '500-page-plus', 'epic-fantasy', 'faith', '2020', 'author-is-nice', 'about-poc', 'arcs', 'modern-fantasy', '2020-release', 'historical', 'muslimshelfspace', 'fantasy', 'sff-favorites', 'tomes', 'chosen-one', 'cool-worldbuilding', 'cover-love', '2020-release', 'epic-fantasy', 'family', 'gimme-some-tissue-papers', 'best-of-2020', 'antiheroes', 'brick-books', 'court-politics', 'audio', 'dont-own', 'fantasy', 'read-in-2021', 'tenho', '2024', '2020-29', '2021', '3-star', 'adult', 'fantasy']"
Billy Summers,2021,517,175795,4.19,"['Fiction', 'Thriller', 'Horror', 'Mystery', 'Crime', 'Audiobook', 'Mystery Thriller', '2021', 'mystery-thriller', '2021', 'buddy-read', 'own', '2021-shelf', 'horror', '2021-releases', 'read-in-2021', 'horror', 'contemporary-fiction', 'crime-fiction', 'family-drama', '2021', 'horror', 'mr-king', 'contemporary-fiction', 'crime', 'physical-copy-owned', 'thrillers', '3-stars', 'beautiful-cover', 'cool-cover', 'stephen-king', 'public-library', 'dnf']"
The Mirror & the Light,2020,759,43108,4.4,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Literary Fiction', 'British Literature', 'Literature', '2020-releases', 'big-books', 'read-in-2020', '2020', '2020-booker-longlist', '2020-women-longlist', 'owned', 'historical-fiction', 'covid-times', 'memorable-21st-century-books', 'booker-longlist', 'favourites', 'modern-lit', '4-star-reads', 'historical', '2020', 'booker-2020', 'audiobook', 'historical-fiction', 'history', 'early-modern-period', 'historical-fiction', 'history', 'give-it-to-me-nowwww', 'renaissance-age-1400-to-1650ce-fict', '2024-reads', 'audiobook', 'biographical-fiction', 'audio-book', 'british', 'favorite-authors', 'best-historical-fiction', 'fiction', '2010-onwards', 'reviewed', '21st-century', 'british-and-irish-isles', 'historical-fiction']"
A Kingdom of Flesh and Fire,2020,637,503860,4.33,"['Fantasy', 'Romantasy', 'Fantasy Romance', 'Vampires', 'Enemies To Lovers', 'New Adult', 'Fiction', 'all-time-favourite', 'fantasy', 'romance', 'better-off-as-kindling', 'enough-with-the-rebellion', 'failed-romance', '2-stars', 'enemies-to-lovers', 'fantasy-low-to-moderate', '2021-books', 'favourites', '2021-tbr', 'hot-garbage-books-made-of-pure-tras', '2020', 'fantasy', 'new-adult', 'mudou-meu-conceito-de-horrível', 'romance', 'theme-vampyr', '2021', 'fantasy-romance', 'fantasy', 'new-adult', 'paranormal', 'arranged-marriage', 'fantasy', 'favorites', 'arc', 'arranged-marriage-of-convenience', 'blog-review', 'almost-dnf', 'don-t-join-the-cult', 'get-out-of-my-sight', '4-stars-love-it-to-the-moon', 'arc-to-review', 'baddest-bitch-of-all', 'enemies-to-lovers', 'fantasy', 'new-adult', 'audiobook', 'buddy-reads', 'fantasy', 'arc-2020', 'favorites', 'book-club', 'this-book-is-bitchin', 'enemies-to-lovers', 'fantasy', 'just-kill-me-now', 'adult', 'fantasy', 'jennifer-l-armentrout']"
Clap When You Land,2020,432,105926,4.23,"['Young Adult', 'Poetry', 'Contemporary', 'Fiction', 'Audiobook', 'LGBT', 'Realistic Fiction', '2020', 'arc', 'poetry', 'arc', 'queer-lit', 'read-in-2020', 'favorites', '3-and-a-half-stars', 'authors-of-color', 'contemporary', 'audiobooks', 'author-of-colour', 'characters-of-colour', 'favs-of-2020', 'lgbtqiap', 'read-in-2020', 'black-writers', '4-star', 'buddy-reads', 'contemporary', 'audiobook', 'published2020', '2020-favorites', 'all-time-fave', 'black-author', '5-star-books', 'audiobooks-i-listened-to', 'contemporary', '2021', 'audiobooks', 'audiobooks', 'bookstagram-made-me-do-it', 'giveaways', 'contemporary-recent', 'sisters', 'ya', 'ya-contemporary', '2020', 'contemporary', 'diverse-recs', 'favorites', 'own-audible', 'own-hardcover', '2020-reads']"
The Women,2024,471,1069104,4.61,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'War', 'Book Club', 'Adult', 'historical-fiction', 'netgalley', '2023-books', '2024-releases', '2024', 'historical', 'netgalley', '2-stars', 'audiobook', 'netgalley', '2023', '2023-edelweiss-challenge', 'best-of-2023', 'favorite-author', 'buddy-read', 'netgalley', 'witch-words-reads', '3-plus', 'automatic-buy', 'chick-lit', 'historical-fiction', 'vietnam', '20th-century', 'audible', 'audiobook', '25-for-2025', 'historical-fiction', '2023-favorites', 'netgalley-reviews', 'audio', 'book-clubs', 'netgalley', 'annoying-characters', 'arc-read', 'burn-it', 'netgalley-arc', '2021-i-didn-t-buy-it-this-year', 'historical-fiction', 'netgalley', 'disappointed', 'uncomfortable']"
The City We Became,2020,437,74887,3.85,"['Fantasy', 'Fiction', 'Science Fiction', 'Urban Fantasy', 'Audiobook', 'Adult', 'LGBT', 'adult', 'adult-sff', 'fiction', '2020-reads', '2021-reads', 'hugo-nebula-nominees-and-winners', 'my-library-kindle', 'new-york-state-of-mind', 'novella', '1-star', 'avoid-at-all-costs', 'black', 'audio', 'library-book', '2020', 'ppb', 'urban-fantasy', 'adult', 'buddy-reads', 'fantasy', 'contemporary', 'fantasy', 'favourite-authors-fantasy', 'feminist-reads', 'lgbtqia', 'three-stars', 'urban-fantasy', '2020-shelf', 'fantasy', 'sci-fi', '2020-book-bingo-challenge', 'fantasy', 'hugo-nominees', 'authors-of-color', 'fantasy', 'fem-author', '2020-releases', 'author-of-color', 'author-woman', '2020', 'action', 'adult']"
Dear Edward,2020,340,201238,4.08,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Coming Of Age', 'Adult', 'Adult Fiction', 'all-time-favorite', 'literature', 'netgalley-reviews', 'botm', '2019-reads', 'buddy-read-with-marialyce', 'netgalley', '2019', 'contemporary-fiction', 'netgalley', '2020', 'netgalley', 'general-fiction', 'netgalley', '2020-super-favorites', 'contemporary', 'disaster', 'contemporary-fiction', 'modern-fiction', 'thriller-crime', '2019', 'aviation', 'family-relationships', '2021', 'audio', 'book-a-book-club', '2020', 'disaster', 'grief-and-loss', 'netgalley', 'book-discussion-perfect', 'captivating', 'compelling', 'books-of-2019', 'jan-mar', 'netgalley', 'coming-of-age', 'family-relationships', 'friendships']"
Legends & Lattes,2022,296,270780,4.08,"['Fantasy', 'Fiction', 'Romance', 'Audiobook', 'LGBT', 'Cozy', 'Queer', 'arcs-and-review-copies', 'favorites', 'self-published-and-indie', 'favorites', 'review-copy', 'adult', 'adult-sff', 'fiction', 'cozy', 'favorites', 'lgbtq', 'arc', 'arc', 'cozy', 'fantasy', '2020s', 'fantasy', 'favorites', '2023-reads', 'hugo-nebula-nominees-and-winners', '4-5-stars', 'cool-cover', 'fantasy-all', 'adult-fantasy', 'queer', 'meowch-bad-kitty', 'review-pending', 'audio', 'fantasy', 'libby-app', 'adult-fantasy', 'audiobook', 'books-read-in-2023', '5-star-reads', 'autumn-reads', 'cozy-fantasy', 'fantasy', 'fantasy', '2024', 'fantasy', 'lgbtqia']"
Home Before Dark,2020,389,254333,4.06,"['Horror', 'Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Adult', 'bookstagram-made-me-do-it', 'favorites', 'from-publisher', 'mystery-thriller-horror', '5-star-books', 'adult', 'all-time-favorites', '2020-releases', 'arc', '2020', 'mystery-thriller', 'edelweiss', 'no-rules-just-thrills', 'buddy-read', 'mystery-thriller', 'hardback-own', 'mystery-thriller-etc', 'own', 'horror', '2020-books', 'i-own', 'thriller-mystery', 'edelweiss', 'mystery-suspense', 'mystery-thrillers', 'edelweiss-arc-s', '2020', 'audio', 'gr_awards_2020', 'october-is-spooky', 'sshh-family-secrets', 'fantasy-scifi-magical-realism-other', 'read-in-2020', 'suspense', 'cool-concept', 'eh', 'family-drama', 'traveling-sister-read', 'vernal-virtual-book-club', '4-stars']"
The Guncle,2021,326,170844,4.13,"['Fiction', 'LGBT', 'Audiobook', 'Contemporary', 'Humor', 'Adult', 'Queer', 'review-copy', '2021', '2021-releases', '2023-reads', 'adult', 'audio-books', 'contemporary-fiction', 'libby-audiobooks', 'adorkable', 'arcs', 'cartoony-covers-are-my-kryptonite', 'blog-tour', 'booksparks', 'audiobook', 'dnf', 'lgbt-fiction', 'contemporary', 'favourite-authors-literary', 'favourites-2021', 'favorites', 'captivating', 'compelling', 'cute', 'dnf', 'audiobook-favorites', 'favorites', '2022', 'e-book', 'books-of-2021', 'library-overdrive', 'humor', 'psychological-drama']"
The Book of Lost Names,2020,388,246112,4.43,"['Historical Fiction', 'Fiction', 'World War II', 'Historical', 'Audiobook', 'Romance', 'War', '2021', 'audiobooks', 'historical-fiction', 'arc-copy', 'hard-hitting-topics', 'historical-fiction', 'netgalley', '2020-favorites', 'edelweiss-reviews', 'giveaway-winner', 'jewish-characters-and-author', 'audio', 'hoopla-libby', 'five-star-reads', 'vernal-virtual-book-club', '2020-reads', 'audiobook', 'books-about-books', 'a', 'e', 'gt', 'enjoyed-the-characters', 'historical-fiction', 'own-it', 'historical-fiction', 'war-time', 'edelweiss-above-the-tree-line', 'book-clubs', 'book-discussion-perfect', 'captivating', 'creates-questions', 'audiobooks', 'given-up', 'historical-fiction-1900s', 'top-of-2020', 'wwii-historical-fiction', '2021-12-4-challenge', 'books-of-2021', 'library-overdrive', 'reviewed', 'ww2-holocaust', 'arc', '0h-no', '2021', '400-pages', '2020', '5-star-reviews', 'kindle']"
The Dictionary of Lost Words,2020,384,167296,4.02,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Books About Books', 'Feminism', 'Book Club', 'netgalley', 'netgalley-2021', 'netgalley-reviews', 'best-of-2021', 'netgalley', 'historical-fiction-1800s', 'setting-england', 'top-of-2021', '2021-reads', 'books-about-books', 'debut-novel', 'audiobook', 'books-bookstores', '2-stars', 'books-and-language', 'netgalley', 'historical-novel', 'historical-fiction', '2020', 'australian-author', 'historical', 'historical-fiction', 'kindle-read-done-finito', 'reviewed-by-me', 'borrowed', 'downloads', 'oh-no-not-again', 'aussie-nz-pacific-islander-authors', 'feminism', 'historical-fic', 'literature', '2021', 'netgalley-2021', '2021']"
The Death of Vivek Oji,2020,248,64580,4.12,"['Fiction', 'Contemporary', 'LGBT', 'Queer', 'Literary Fiction', 'Audiobook', 'Nigeria', '2020', 'astonishing', 'lgbtq', '5-star-books', 'adult', 'all-time-favorites', 'favourites', 'audiobook', 'death-is-not-the-end', 'from-publisher-or-author', 'edelweiss-reviews', 'brave-structural-choices', 'literary-fiction', 'made-me-cry', '2020-books', 'favorites', 'i-own', '3-stars', 'authors-of-color', 'diverse', 'literary-fiction', 'netgalley', 'adult-fiction', 'lgbtq', 'realistic-fiction', 'black-authors', 'arcs', 'audiobook', 'my-reviews', '2020', 'read-in-english', '2020-releases', 'read-in-2020', 'favorites', 'adult', 'disappointing', 'pov-female', '2020', 'adult-contemporary', 'author-of-colour', '2021', 'foreign-lands', '2020-read', 'nigeria', 'adult-fiction', 'audio', 'literature']"
Oona Out of Order,2020,339,91481,3.86,"['Fiction', 'Time Travel', 'Audiobook', 'Science Fiction', 'Fantasy', 'Contemporary', 'Magical Realism', 'library', 'march-2020-reads', 'five-star-reads', 'arc-physical', 'favorites', 'fiction', 'audiobook', '2020', 'library-digital-borrow', 'sci-fi-and-fantasy', '2021', 'audio', 'library', '2020', 'adult-reads', 'fantasy', 'favorites', 'curse-you-bookstagram', 'everyone-loved-it-but-me', 'gma-book-club', 'audiobook', 'library', 'magical-realism', '2023-books', 'all-time-faves', 'audiobook-recs', 'arc-s', 'from-the-publisher', 'not-my-cup-of-tea', '2021', 'audiobooks', 'fiction', 'fiction', '2020-releases', 'contemporary', 'magical-realism', 'favourites', 'audio', 'library', 'drama', 'english', 'library-purchase', '2020', 'fiction', 'read-in-2020', 'sci-fi', '2020', 'alcs', 'arcs']"
One to Watch,2020,417,95890,3.88,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Audiobook', 'Contemporary Romance', 'Adult', 'favorites', 'chick-lit', 'kissing-books', 'les-arcs-de-triomphes', '2020', 'adult-romance', 'audiobook', 'books-read-in-2020', '2020', 'women-s-fic', '4-star-books', 'actors-or-hollywood', 'adult', 'romance-adult', 'did-not-finish', 'audiobooks', 'characters-of-colour', 'i-fell-in-love', '2020-audio', '2020-new-to-me-author', 'pop-culture', 'romance', '2021', 'chick-lit', 'arc-copy', 'kindle-books', 'netgalley-2020', '2-star', '2020', '2020-29', 'fiction-genre-wf-chick-lit', 's-africa-middle-east', 's-france-western-europe', '2020-goal']"
Migrations,2020,256,84651,4.13,"['Fiction', 'Science Fiction', 'Literary Fiction', 'Audiobook', 'Contemporary', 'Nature', 'Dystopia', 'lit-fic', '2020', 'arc', 'featured', 'all-time-favourites', 'fiction', 'in-my-home-library', 'netgalley', 'netgalley-2020', 'no-rules-just-thrills', 'cli-fi', 'environment', 'fiction', '2020-favorites', 'edelweiss-reviews', 'literary-fiction', 'netgalley', 'traveling-sister-reads', 'reviewed', 'favorites', '2021-best-reads', 'all-time-favorites', 'animals', '5-star-favourites', 'favorites', '2020-favorites', 'audiobook', 'australian-author', 'environmental', 'friendships']"
The Switch,2020,336,139572,3.94,"['Romance', 'Fiction', 'Contemporary', 'Audiobook', 'Chick Lit', 'Contemporary Romance', 'Adult', 'contemporary-fiction', 'family-drama', 'netgalley', '2020-release', 'adult', 'buddy-read', '2-and-a-half-stars', 'eh', 'non-ya', 'audiobooks', 'i-fell-in-love', 'mental-health', 'audio', 'netgalley', 'netgalley-2020', 'audible', 'netgalley', 'rom_com', 'arc-copy', 'audiobooks', 'netgalley-2020', 'audio-books', 'chick-lit', 'netgalley-audiobooks', '4-stars', 'audiobook', 'contemporary-fiction', '5-stars', 'british', 'standalone', 'beach-read', 'comfort-read', 'family', 'modern-fiction', 'adventure', 'audiobooks', 'favorites', '2020', 'arc', 'audiobook', 'audio', 'buddy-read', 'libro-fm', '2020-audio', 'audiobooks', 'buddy-read', 'libro-fm-alc', 'chick-lit', 'kissing-books', 'my-mom-liked-it']"
The Fault in Our Stars,2012,313,5469411,4.13,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Novels', 'awesome-parent', 'beautiful-ending', 'death', 'annoying-characters', 'are-you-fucking-kidding-me', 'books-i-would-love-to-burn', 'kids-and-young-adult', '2013', 'contemporary', 'young-adult', '2-stars', '2012', 'books-that-made-me-cry', 'favorites', '2012', '6', 'starred-2012', 'best-characters', 'best-endings', 'best-male-leads', 'best-of-heroes', 'contemporary', 'favorites', '2014', '2024', 'ya-contemporary', '1-star', 'contemporary', 'nope', 'adapted', 'favorites', 'romance', 'library-book', 'read-in-2012', '2013-reads', 'i-also-saw-the-film', 'amazing-writing-style', 'best-book-ever', 'best-ya-book-ever', 'american-authors', 'cancer', 'young-adult', 'different', 'fast-reads', 'favourites', 'sad', 'saddest', 'ya', 'favourites', 'give-this-author-a-bells', 'it-hurts-in-my-heart', 'favourites', 'why-yes-i-ya', '5-star-reads', 'love-and-romance']"
Mockingjay,2010,390,3449405,4.1,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'adapted', 'dystopia', 'young-adult', '2010', '2013', '2014', '2010-reads', 'best-characters', 'best-couples', 'owned', '400-499-pp', 'author-american', 'genre-dystopian', 'audiobook-audible', 'author-american', 'genre-dystopian', 'cover', 'cried', 'dystopia', 'choking-noises', 'dystopian', 'lost-the-will-to-live', 'kat-s-book-reviews', 'oppressive-dystopian-regime', 'to-ya-or-not-to-ya', '1-star-reads', 'fantasy', 'sci-fi', '2010', 'awesome-kickass-heroines', 'for-my-future-hypothetical-daughter', 'i-also-saw-the-film', 'why-yes-i-ya', 'best-of-the-year', 'chosen-girls', 'classic-young-adult', 'fantasy', 'rereading', 'owned', 'dystopian', 'grrrl-power', 'penny-s-favorite-books', 'buddy-reads', 'dystopian', 'quarantine-reads', 'owned']"
Divergent,2011,487,4207714,4.14,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Teen', '2013-reads', 'i-also-saw-the-film', '2', '2011', 'dystopias-post-apocalyptic', 'adapted', 'dystopia', 'favorites', 'after-the-fall', 'rain-man-reviews', 'teenworld', 'audiobook', 'dumpster-fire', 'literally-painful-to-read', 'favorites', 'kat-s-book-reviews', 'leaves-awesomeness-behind', 'dysto-teque', 'why-yes-i-ya', '2011-reads', 'too-awful-for-words', 'ya', '2011', 'dystopia-utopia', 'young-adult', 'dystopia', 'everyone-else-loves-it', 'group-reading-challenge', 'ya-to-avoid', '2011-favorites', 'action-packed', 'boarding-school', 'arc', 'dystopic', 'read-2011', '2-am-or-later', '2011-reads', 'action-packed', '2010', 'my-top-dystopian-or-utopian', 'reviewed-2011', 'tour', '2011', 'audiobook', 'ebooks', 'fantasy', 'young-adult', 'addicted-to-ya', 'huh', 'insane', 'borrowed', 'dystopian', 'first', 'books-i-own', 'favorites', 'own-arc']"
Gone Girl,2012,415,3289398,4.14,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary', '2013', 'mystery-thriller', '2012', 'chick-lit', 'mysteries-thrillers-horror', 'abandoned', 'novels', 'dead-tree', 'obama', 'shit-sandwich', '2012-books', 'fiction', 'mystery', 'nicholas-recommends', 'thriller-marriage-family', 'audiobook', 'goodreads-top-100', 'need-to-reread', '2014', '2024', 'mystery-thriller', 'audiobook', '2013-reads', 'ebook_nook', 'highly-recommended', 'mystery-and-thrillers', 'all-fiction', 'av', 'creepy-spooky-scary', '4-stars', 'mystery-thriller-horror-etc', 'non-ya', 'my-ebooks', 'crime', 'disappointing', 'not-really-feminist', '2012', 'audiobooks', 'strained-metaphors', 'giving-up-for-now', 'i-want-my-money-back', 'sucked', 'adapted', 'favorites', 'thriller', 'favorites']"
The Martian,2011,384,1203499,4.42,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Thriller', 'books-of-the-year-2014', 'fiction', 'science', '2014-reads', '2020-reads', '2021-reads', 'favorites', '2015', 'sci-fi', 'sci-fi', 'favorites', 'book-to-film', 'science-fiction', 'audio-books', 'destroy-it-like-a-horcrux', 'gouge-out-my-eyes-with-a-spoon', 'live-through-this', 'american-author', 'fiction', 'he-says', 'favorites', 'self-published-and-indie', 'action', 'adult', 'awesome-guy', 'science-fiction-new', 'weir-andy', 'science-fiction', 'read-in-2015', 'sci-fi', 'action', 'adventure-and-exploration', 'books-for-my-kids', '2015', 'exceeded-expectations', 'favorites', 'humor', 'novel', 'politics', '2014-favorites', 'action-packed', 'adult', 'favorites', 'read-2014']"
All the Light We Cannot See,2014,544,1844442,4.31,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Audiobook', 'Adult', 'all-time-favorites-fiction', 'books-of-the-year-2014', 'fiction', 'character-study', 'fav-fic', 'germany', '2014-releases', 'historical-fiction', 'own-in-paperback', '2014-read', 'audible-us', 'france', 'favorite-books', '2018-finer-books-club-reading-chall', 'audiobook', '2015', 'historical', 'modern-lit', 'american-21st-c', 'carnegie-medal-winner', 'fiction', '5-stars-baby', 'arc', 'favorites', 'beautifully-written', 'favorites-2015', 'gorgeous-covers', '2016', 'audio', 'historical-fiction', 'book-club', 'france', 'historical-fiction', 'ww2', 'historical', 'listened-to-audio-version', 'read-listened-with-my-kids', 'netgalley', 'owned']"
Ready Player One,2011,480,1240832,4.23,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Dystopia', 'Audiobook', 'Adventure', '2011', 'craptacular', 'cyber', '2017-reads', 'dystopian', 'fantasy', 'dystopian', 'flawed', 'science-fiction', 'apocalypso', 'all-time-favorites', 'favorites', 'liburry-book', 'read-2015', 'favourites', 'owned', 'dystopian', 'read-in-2016', 'sci-fi', '5-stars', 'diverse', 'favorites-2017', '2014', 'exceeded-expectations', 'favorites', 'science-fiction-new', 'audio', 'hoopla-libby', 'dystopia', 'fantasy-sf', 'ya', 'dystopia', 'espionage', 'humor', 'adventure', 'cyberpunk', 'dystopia']"
